,Low Volatility,Medium Volatility,High Volatility
Number of Days,237.0,751.0,266.0
Annualized Return,0.38151968579799617,0.2943818250762081,-0.21681016714097312
Annualized Volatility,0.21765009558202766,0.26847123919975546,0.41289300398988465
Sharpe Ratio,0.12842908566339145,0.07725980463583719,-0.05548936005522863
