,Technology,Financial,Healthcare,Consumer,Energy,Industrial,Utilities
low,0.19737588090484845,0.14102009786554398,0.13173053962223882,0.10057248299732319,0.1838286770803578,0.14788394996753013,0.1680865675923734
medium,0.2631055502952336,0.20675813199993176,0.1418280740461451,0.11944741488784721,0.2987684843987503,0.19945987263394793,0.17136097503879655
high,0.40847585555172417,0.37219823310935446,0.21678670042196724,0.22095468004908136,0.47064708327509885,0.37882783053952335,0.2448033361665518
